ID,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATAL,INJURE,ACCIDENT_IDENTIFIER,SYSTEM_PART_INVOLVED,PIPE_FAC_NAME,DESIGNATED_LOCATION,FEDERAL,LOCATION_TYPE,INCIDENT_AREA_TYPE,CROSSING,PIPE_FACILITY_TYPE,INSTALLATION_YEAR,ITEM_INVOLVED,MATERIAL_INVOLVED,RELEASE_TYPE,WILDLIFE_IMPACT_IND,SOIL_CONTAMINATION,WATER_CONTAM_IND,COULD_BE_HCA,COMMODITY_REACHED_HCA,ACCIDENT_PSIG,ACCIDENT_PRESSURE,INTERNAL_INSPECTION_IND,OPERATION_COMPLICATIONS_IND,PIPELINE_FUNCTION,SCADA_IN_PLACE_IND,CPM_IN_PLACE_IND,CAUSE,CAUSE_DETAILS,EST_COST_OPER_PAID,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER
11,42.121376,-112.941655,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,75.0,0.0,35.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES","SALT LAKE CITY TO BOISE 8"" PRODUCTS",MILEPOST,YES,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTERSTATE,1952,PIPE,CARBON STEEL,LEAK-CRACK,NO,YES,NO,NO,NO,111.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,CORROSION FAILURE,EXTERNAL CORROSION,0.0,11025.0,0.0,32935.0,228854.0,0.0
12,32.040701,-94.820811,CRUDE OIL,3.0,0.0,3.0,0,0,CPM LEAK DETECTION SYSTEM,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,LANEVILLE STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,UNKNOWN,PUMP,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,YES,NO,NO,NO,473.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,< 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,231.0,113146.0,12500.0,1000.0,0.0
13,29.716042,-95.220064,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.83,1.68,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES","PASADENA #1 6""",SURVEY STATION NO.,NO,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,YES,INTRASTATE,1965,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,NO,NO,YES,YES,587.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,CORROSION FAILURE,EXTERNAL CORROSION,0.0,4900.0,200000.0,0.0,0.0,0.0
14,29.854728,-94.892848,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,7.62,20.14,0.0,0,0,NOTIFICATION FROM PUBLIC,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,ONEOK MONT BELVIEU STORAGE - STERLING 3 VESSEL 207,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,2014,FILTER/STRAINER/SEPARATOR,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,YES,YES,1051.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,451.0,2500.0,350.0,500.0,0.0
15,29.2671393,-95.1265417,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.2,0.0,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES","GALVESTON BAY TO CHOCOLATE BAYOU 8"" LPG",MILEPOST,NO,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,NO,INTRASTATE,2017,VALVE,CARBON STEEL,OTHER,NO,NO,NO,NO,NO,862.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,INCORRECT OPERATION,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",0.0,5.0,0.0,0.0,0.0,0.0
16,41.623703,-83.486666,CRUDE OIL,28.0,0.0,28.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,SUN TERMINAL METER STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,UNKNOWN,RELIEF LINE AND RELIEF EQUIPMENT,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,YES,87.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,CORROSION FAILURE,INTERNAL CORROSION,0.0,2100.0,70000.0,130000.0,55000.0,0.0
17,29.257547,-95.136928,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,43.0,0.0,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES","GALVESTON BAY TO CHOCOLATE BAYOU 8"" LPG",MILEPOST,NO,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,NO,INTRASTATE,2017,VALVE,CARBON STEEL,OTHER,NO,NO,NO,NO,NO,990.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,OTHER OUTSIDE FORCE DAMAGE,"NEARBY INDUSTRIAL, MAN-MADE, OR OTHER FIRE/EXPLOSION AS PRIMARY CAUSE OF ACCIDENT",0.0,975.0,138647.0,73084.0,0.0,0.0
18,29.70773894,-95.22354312,CRUDE OIL,20.0,0.0,16.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES",HOUSTON TERMINAL PIPELINE,SURVEY STATION NO.,NO,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY",UNDERGROUND,NO,INTRASTATE,1995,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,YES,0.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,OTHER ACCIDENT CAUSE,UNKNOWN,11500.0,1500.0,175000.0,273000.0,201000.0,0.0
19,29.25754,-95.137019,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3132.0,2912.76,0.0,0,0,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","ONSHORE PIPELINE, INCLUDING VALVE SITES",ETHYLENE PIPELINE SYSTEM,SURVEY STATION NO.,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTRASTATE,1976,PIPE,CARBON STEEL,RUPTURE-LONGITUDINAL,NO,NO,NO,NO,NO,1676.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,CORROSION FAILURE,EXTERNAL CORROSION,0.0,108475.0,6000000.0,0.0,0.0,0.0
20,29.26058,-89.19948,CRUDE OIL,2.6,0.0,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES",DELTA DUCK SSTI (SSTI ASSEMBLY TO DN2 PIPELINE),SURVEY STATION NO.,YES,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTERSTATE,2013,FLANGE ASSEMBLY,CARBON STEEL,LEAK-CONNECTION FAILURE,NO,NO,NO,YES,NO,100.0,PRESSURE DID NOT EXCEED MOP,NO,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,INCORRECT OPERATION,EQUIPMENT NOT INSTALLED PROPERLY,0.0,215.0,535167.0,176617.0,0.0,0.0
21,38.37043,-97.7825,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.38,0.0,2.38,0,0,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)",ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,CHS MRI CONWAY STORAGE TERMINAL,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTRASTATE,UNKNOWN,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,NO,168.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,< 20% SMYS REGULATED TRANSMISSION,YES,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,400.0,20000.0,5000.0,90000.0,500.0
22,32.483611,-94.830278,CRUDE OIL,0.1,0.0,0.1,0,0,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,LONGVIEW STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,UNKNOWN,PUMP,MATERIAL OTHER THAN CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,NO,NO,558.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,4.0,171935.0,4765.0,0.0,0.0
24,29.73064,-95.20349,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,17.3,0.0,0.01,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES",KMLT PASADENA TERMINAL,SURVEY STATION NO.,NO,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY",ABOVEGROUND,NO,INTRASTATE,UNKNOWN,FLANGE ASSEMBLY,CARBON STEEL,LEAK-OTHER,NO,NO,YES,YES,YES,30.0,PRESSURE DID NOT EXCEED MOP,NO,YES,< 20% SMYS REGULATED TRANSMISSION,YES,NO,INCORRECT OPERATION,OTHER INCORRECT OPERATION ,0.0,1089.0,1166366.0,70358.0,37709.0,1000000.0
26,29.940306,-93.958889,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,668.0,0.0,0.0,0,0,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,PORT ARTHUR PUMP STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,2014,PUMP,MATERIAL OTHER THAN CARBON STEEL,OTHER,NO,NO,NO,YES,YES,838.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,214.0,450.0,350.0,0.0,0.0
27,41.29919,-83.61619,CRUDE OIL,2.0,0.0,2.0,0,0,AIR PATROL,"ONSHORE PIPELINE, INCLUDING VALVE SITES",MAUMEE PIPELINE SYSTEM,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTERSTATE,1949,PIPE,CARBON STEEL,LEAK-OTHER,NO,YES,NO,NO,NO,200.0,PRESSURE DID NOT EXCEED MOP,YES,NO,> 20% SMYS REGULATED TRANSMISSION,YES,YES,OTHER ACCIDENT CAUSE,UNKNOWN,25000.0,150.0,155000.0,200000.0,29000.0,2055.0
28,31.770482,-103.176936,CRUDE OIL,0.5,0.0,0.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,WINK TANK FARM,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,2017,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,NO,63.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,35.0,17128.0,0.0,4424.0,0.0
29,40.15365176,-74.65859531,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.82,0.0,0.82,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,COLONIAL PIPELINE COMPANY/ALLENTOWN STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTERSTATE,1963,VALVE,CARBON STEEL,LEAK-OTHER,NO,YES,NO,YES,YES,255.9,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,OTHER ACCIDENT CAUSE,UNKNOWN,0.0,210.0,3500.0,99000.0,16000.0,0.0
30,32.002374,-102.046692,CRUDE OIL,37.0,0.0,37.0,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,MIDLAND STATION,MILEPOST,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,NO,INTRASTATE,2012,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,NO,NO,1.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,0.0,140.0,2000.0,1000.0,2400.0,0.0
31,27.812217,-97.431167,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.66,0.0,0.07,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","ONSHORE PIPELINE, INCLUDING VALVE SITES",CASA PIPELINE,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,UNDERGROUND,NO,INTRASTATE,UNKNOWN,PIPE,CARBON STEEL,LEAK-PINHOLE,NO,YES,NO,YES,YES,250.0,PRESSURE DID NOT EXCEED MOP,YES,NO,< 20% SMYS REGULATED TRANSMISSION,YES,NO,CORROSION FAILURE,EXTERNAL CORROSION,0.0,61.0,150000.0,0.0,0.0,0.0
32,29.998306,-93.990131,CRUDE OIL,0.48,0.0,0.48,0,0,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS",ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,NEDERLAND TERMINAL,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTERSTATE,UNKNOWN,SUMP,CARBON STEEL,OVERFILL OR OVERFLOW,NO,NO,NO,YES,YES,80.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.0,55.0,500.0,1500.0,0.0,0.0
33,28.93084,-100.039408,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,228.0,117.0,0.0,0,0,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)",ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,LA PRYOR PUMP STATION,SURVEY STATION NO.,NO,TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,NO,INTRASTATE,2017,VALVE,CARBON STEEL,LEAK-SEAL OR PACKING,NO,NO,NO,NO,NO,353.0,PRESSURE DID NOT EXCEED MOP,UNKNOWN,UNKNOWN,> 20% SMYS REGULATED TRANSMISSION,YES,YES,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0.0,1360.0,752543.0,5000.0,0.0,10249.0
34,33.86388,-118.162212,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.3,0.0,2.3,0,0,NOTIFICATION FROM PUBLIC,"ONSHORE PIPELINE, INCLUDING VALVE SITES",SFPP WATSON STATION,MILEPOST,NO,PIPELINE RIGHT-OF-WAY,ABOVEGROUND,NO,INTRASTATE,UNKNOWN,TUBING,MATERIAL OTHER THAN CARBON STEEL,LEAK-CONNECTION FAILURE,NO,YES,NO,YES,YES,606.0,PRESSURE DID NOT EXCEED MOP,NO,YES,> 20% SMYS REGULATED TRANSMISSION,YES,YES,OTHER ACCIDENT CAUSE,UNKNOWN,0.0,245.0,0.0,26427.0,31233.0,0.0
